,Postcode,Education_Sector,School_Type,Number_of_Schools
0,3000,Independent,Secondary,3
1,3000,Independent,Special,1
2,3003,Catholic,Secondary,1
3,3004,Government,Secondary,1
4,3004,Government,Special,1
5,3004,Independent,Pri/Sec,2
6,3006,Government,Primary,1
7,3006,Government,Secondary,1
8,3008,Government,Primary,1
9,3011,Catholic,Primary,2
10,3011,Government,Primary,3
11,3011,Government,Secondary,1
12,3012,Catholic,Primary,2
13,3012,Government,Primary,1
14,3013,Catholic,Primary,1
15,3013,Government,Primary,3
16,3013,Government,Special,1
17,3015,Catholic,Primary,2
18,3015,Government,Primary,3
19,3015,Independent,Primary,1
20,3016,Catholic,Primary,1
21,3016,Government,Pri/Sec,1
22,3016,Government,Primary,2
23,3016,Government,Secondary,1
24,3016,Independent,Primary,1
25,3018,Catholic,Primary,1
26,3018,Catholic,Secondary,1
27,3018,Government,Pri/Sec,1
28,3018,Government,Primary,2
29,3019,Catholic,Primary,1
30,3019,Catholic,Secondary,1
31,3019,Government,Language,1
32,3019,Government,Primary,1
33,3019,Government,Secondary,1
34,3019,Government,Special,1
35,3020,Catholic,Primary,5
36,3020,Catholic,Secondary,1
37,3020,Government,Primary,8
38,3020,Government,Secondary,1
39,3020,Government,Special,2
40,3020,Independent,Primary,1
41,3021,Catholic,Primary,4
42,3021,Catholic,Secondary,1
43,3021,Government,Primary,10
44,3021,Government,Secondary,1
45,3021,Government,Special,1
46,3022,Catholic,Primary,1
47,3022,Government,Primary,1
48,3023,Catholic,Primary,3
49,3023,Catholic,Secondary,1
50,3023,Government,Pri/Sec,2
51,3023,Government,Primary,6
52,3023,Government,Secondary,2
53,3023,Independent,Pri/Sec,1
54,3024,Catholic,Primary,1
55,3024,Government,Pri/Sec,1
56,3024,Government,Primary,3
57,3025,Catholic,Primary,1
58,3025,Catholic,Secondary,1
59,3025,Government,Primary,1
60,3026,Catholic,Primary,1
61,3026,Government,Primary,1
62,3028,Catholic,Primary,2
63,3028,Government,Pri/Sec,1
64,3028,Government,Primary,3
65,3028,Government,Special,2
66,3029,Catholic,Primary,5
67,3029,Catholic,Secondary,1
68,3029,Government,Pri/Sec,5
69,3029,Government,Primary,8
70,3029,Government,Secondary,2
71,3029,Government,Special,1
72,3029,Independent,Pri/Sec,4
73,3030,Catholic,Primary,7
74,3030,Catholic,Secondary,1
75,3030,Government,Pri/Sec,5
76,3030,Government,Primary,6
77,3030,Government,Secondary,5
78,3030,Independent,Pri/Sec,1
79,3031,Catholic,Primary,2
80,3031,Government,Primary,3
81,3031,Government,Secondary,2
82,3032,Catholic,Primary,2
83,3032,Government,Primary,2
84,3032,Government,Secondary,1
85,3032,Government,Special,2
86,3033,Catholic,Primary,1
87,3033,Government,Primary,1
88,3033,Government,Secondary,1
89,3033,Independent,Pri/Sec,1
90,3034,Catholic,Primary,1
91,3034,Government,Primary,1
92,3036,Catholic,Primary,1
93,3036,Catholic,Secondary,1
94,3036,Government,Primary,1
95,3036,Independent,Pri/Sec,1
96,3037,Catholic,Primary,2
97,3037,Catholic,Secondary,1
98,3037,Government,Primary,4
99,3037,Government,Secondary,1
100,3037,Independent,Pri/Sec,1
101,3038,Catholic,Primary,1
102,3038,Government,Primary,3
103,3038,Government,Secondary,2
104,3039,Catholic,Primary,1
105,3039,Government,Primary,2
106,3040,Catholic,Primary,3
107,3040,Catholic,Secondary,3
108,3040,Government,Primary,2
109,3040,Government,Secondary,1
110,3040,Independent,Pri/Sec,1
111,3041,Catholic,Primary,1
112,3041,Government,Primary,3
113,3041,Government,Secondary,1
114,3042,Catholic,Primary,2
115,3042,Government,Primary,1
